,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.992461019181,0.98397270602,0.992077967347,0.992312548291,0.988646971734,0.990092402537,0.978428600989,0.989428547908,0.989609991944
ucr,0.992461019181,1.0,0.99430317707,0.998252792365,0.998185543997,0.991919949934,0.996989190607,0.990556415647,0.996874968079,0.997030330777
ucrC,0.98397270602,0.99430317707,1.0,0.994694613287,0.994747558689,0.983907986181,0.993299575307,0.99687418167,0.993776960839,0.993610895212
ucrss,0.992077967347,0.998252792365,0.994694613287,1.0,0.998285025251,0.991935124957,0.99718759935,0.991310721966,0.997034436548,0.997209476113
ucrss_wfilter,0.992312548291,0.998185543997,0.994747558689,0.998285025251,1.0,0.991650882213,0.997157373205,0.9912805212,0.996954300979,0.997097343163
uc_fast,0.988646971734,0.991919949934,0.983907986181,0.991935124957,0.991650882213,1.0,0.99293741929,0.980685853395,0.991776988177,0.99193658537
ucr_fast,0.990092402537,0.996989190607,0.993299575307,0.99718759935,0.997157373205,0.99293741929,1.0,0.992168842022,0.997906008694,0.998060930403
ucrC_fast,0.978428600989,0.990556415647,0.99687418167,0.991310721966,0.9912805212,0.980685853395,0.992168842022,1.0,0.992683074077,0.992396830071
ucrss_fast,0.989428547908,0.996874968079,0.993776960839,0.997034436548,0.996954300979,0.991776988177,0.997906008694,0.992683074077,1.0,0.99798778427
ucrss_fast_wfilter,0.989609991944,0.997030330777,0.993610895212,0.997209476113,0.997097343163,0.99193658537,0.998060930403,0.992396830071,0.99798778427,1.0
