	observed_species	PD_whole_tree
SN1.141681	267.0	42.27953
SB1.141730	305.0	50.81218
CA1.141704	324.0	55.50902
SA1.141670	336.0	57.44197
PE4.141683	283.0	36.3546
AR2.141703	307.0	56.95092
SP1.141656	337.0	56.7507
SR1.141680	331.0	55.97684
CO2.141657	293.0	49.86864
MD4.141660	268.0	40.40442
KP1.141713	326.0	52.54051
BF1.141647	305.0	44.35315
CL3.141664	330.0	56.84399
GB2.141732	326.0	53.51497
PE6.141700	312.0	46.6727
PE7.141734	342.0	60.01422
BF2.141708	286.0	42.98413
GB3.141652	287.0	47.80134
SV1.141649	319.0	49.69395
GB1.141665	333.0	52.58688
LQ1.141701	334.0	57.53786
PE1.141715	294.0	41.41637
JT1.141699	289.0	42.974
MD5.141688	221.0	33.67044
SK2.141662	306.0	51.74429
KP3.141658	292.0	44.9435
MP1.141661	275.0	41.61859
CA2.141685	329.0	56.83214
BZ1.141724	268.0	50.87531
CL2.141671	345.0	61.20019
CL4.141667	320.0	53.40483
MP2.141695	259.0	41.24893
SK3.141716	313.0	55.30939
IE1.141648	321.0	59.64731
SP2.141678	323.0	55.22372
HF1.141663	255.0	40.05176
PE2.141725	293.0	40.59547
IE2.141655	312.0	52.30475
DF1.141684	314.0	52.0904
CF1.141675	299.0	43.94622
RT1.141654	298.0	48.43439
CM1.141723	299.0	47.6962
RT2.141710	314.0	52.14302
CR1.141682	303.0	51.95413
KP4.141733	331.0	54.94871
HI1.141693	220.0	33.47063
SN3.141650	331.0	56.52485
SF2.141677	301.0	51.5822
HF2.141686	237.0	32.65697
HJ1.141718	256.0	41.08629
MT2.141698	306.0	52.95257
HI4.141735	286.0	45.26052
CL1.141697	311.0	49.19253
TL1.141653	239.0	40.72436
PE5.141692	281.0	37.26653
TL2.141706	312.0	57.61321
SA2.141687	340.0	56.06755
MT1.141719	330.0	56.09616
SK1.141669	240.0	40.33947
CO3.141651	303.0	51.22437
SV2.141666	320.0	47.50419
HI2.141672	299.0	43.37725
AR3.141705	310.0	52.46446
HI3.141676	283.0	46.99952
CF2.141679	245.0	33.04072
CC1.141721	345.0	66.32952
PE3.141731	284.0	39.0832
DF2.141726	328.0	57.02624
HJ2.141717	321.0	49.94678
SR3.141674	348.0	56.8496
VC1.141722	306.0	53.50623
AR1.141727	301.0	49.30433
MD3.141707	279.0	46.91759
BP1.141702	308.0	55.89893
LQ2.141729	277.0	40.92372
LQ3.141712	269.0	40.96693
GB5.141668	269.0	45.25521
IT2.141720	309.0	49.51665
MD2.141689	300.0	45.96486
SR2.141673	324.0	51.65053
IT1.141711	308.0	55.63126
DF3.141696	307.0	44.9626
CO1.141714	329.0	55.23814
SF1.141728	329.0	56.59925
BB2.141659	257.0	40.00739
CF3.141691	224.0	26.58645
TL3.141709	268.0	41.96721
VC2.141694	336.0	60.04878
