	observed_species	PD_whole_tree
SF1.141728	350.0	60.60926
CO2.141657	310.0	51.13059
BP1.141702	330.0	58.1327
CA1.141704	343.0	59.26178
SB1.141730	339.0	57.48936
SA2.141687	346.0	59.14028
SV1.141649	301.0	50.10604
SV2.141666	331.0	48.32362
VC2.141694	343.0	62.42616
MT1.141719	334.0	57.37194
CC1.141721	362.0	73.49153
CA2.141685	343.0	59.16328
SR2.141673	341.0	55.17108
MD3.141707	291.0	47.53725
CO3.141651	326.0	54.08083
MD2.141689	308.0	44.62627
GB2.141732	345.0	55.65056
SR1.141680	358.0	60.97048
SF2.141677	325.0	54.34142
CR1.141682	327.0	54.48539
IE2.141655	316.0	55.37463
GB5.141668	290.0	45.62106
GB1.141665	331.0	52.68
IT1.141711	344.0	59.58308
KP1.141713	326.0	55.7991
SK3.141716	336.0	59.22656
HJ1.141718	259.0	42.85464
MT2.141698	325.0	53.75138
SN1.141681	266.0	40.92362
CL3.141664	354.0	62.77151
KP3.141658	304.0	47.75266
IT2.141720	314.0	52.23697
HI3.141676	305.0	49.49403
CL4.141667	319.0	53.59344
DF2.141726	345.0	59.37417
SP1.141656	346.0	56.9939
CL2.141671	357.0	59.71591
CF3.141691	219.0	27.64941
BF2.141708	292.0	40.90043
PE1.141715	321.0	43.31612
CF2.141679	251.0	33.2193
SP2.141678	333.0	54.29332
PE3.141731	301.0	38.21906
BZ1.141724	292.0	49.55098
BB2.141659	256.0	38.72673
CF1.141675	300.0	42.05701
BF1.141647	304.0	42.51097
PE6.141700	306.0	42.92335
TL2.141706	318.0	60.32263
CL1.141697	339.0	55.64085
MP2.141695	284.0	42.81228
GB3.141652	295.0	46.30404
CO1.141714	343.0	56.88596
MD5.141688	236.0	34.88367
JT1.141699	295.0	43.60781
MD4.141660	274.0	40.59834
SR3.141674	351.0	58.16875
CM1.141723	313.0	50.74244
IE1.141648	339.0	61.47331
SA1.141670	346.0	56.20027
SN3.141650	334.0	50.55633
SK2.141662	328.0	56.87831
MP1.141661	297.0	44.71347
LQ3.141712	283.0	38.13219
PE5.141692	298.0	39.23067
HF1.141663	286.0	42.32267
HF2.141686	256.0	31.95641
PE2.141725	289.0	39.76007
HI2.141672	297.0	45.14662
KP4.141733	353.0	56.94414
DF1.141684	325.0	51.8463
TL3.141709	301.0	48.36273
PE4.141683	296.0	40.09092
HJ2.141717	329.0	53.44193
AR3.141705	317.0	52.06284
DF3.141696	312.0	41.86422
VC1.141722	332.0	54.69614
SK1.141669	242.0	38.43165
RT2.141710	329.0	50.4002
AR1.141727	326.0	54.68677
TL1.141653	236.0	40.99018
AR2.141703	318.0	54.99243
LQ2.141729	280.0	38.90404
LQ1.141701	339.0	56.0714
PE7.141734	351.0	66.18241
HI1.141693	233.0	36.46763
RT1.141654	322.0	50.50325
HI4.141735	293.0	47.86001
