,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.950809726997,0.932748933921,0.933509528561,0.952564986724,0.955606209602,0.936157427841,0.926661769334,0.947673035645,0.946605645369
ucr,0.950809726997,1.0,0.902187197464,0.930701391835,0.930193283577,0.94599557373,0.940276758771,0.90319901695,0.952476755713,0.94360930195
ucrC,0.932748933921,0.902187197464,1.0,0.893630599885,0.90874454234,0.905111267154,0.91405285726,0.977594632852,0.902404654137,0.910765603847
ucrss,0.933509528561,0.930701391835,0.893630599885,1.0,0.929412409333,0.94412711092,0.935030390662,0.89361095811,0.947867498395,0.948666390139
ucrss_wfilter,0.952564986724,0.930193283577,0.90874454234,0.929412409333,1.0,0.951712181297,0.933274059487,0.902545965709,0.930598166948,0.943045675495
uc_fast,0.955606209602,0.94599557373,0.905111267154,0.94412711092,0.951712181297,1.0,0.952704443499,0.898282483737,0.956453590579,0.960493290042
ucr_fast,0.936157427841,0.940276758771,0.91405285726,0.935030390662,0.933274059487,0.952704443499,1.0,0.914263034145,0.950392132006,0.952350684
ucrC_fast,0.926661769334,0.90319901695,0.977594632852,0.89361095811,0.902545965709,0.898282483737,0.914263034145,1.0,0.902216184203,0.902507188702
ucrss_fast,0.947673035645,0.952476755713,0.902404654137,0.947867498395,0.930598166948,0.956453590579,0.950392132006,0.902216184203,1.0,0.962337698199
ucrss_fast_wfilter,0.946605645369,0.94360930195,0.910765603847,0.948666390139,0.943045675495,0.960493290042,0.952350684,0.902507188702,0.962337698199,1.0
