,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9394483170085824,0.8497205085141168,0.9394293036780095,0.9394331018904127,0.9996940427628886,0.939752179426585,0.839735421188095,0.9396313831775533,0.9398297457020908
ucr,,,0.820696925368546,0.999992377668951,0.9999896759534087,0.9395381728545534,0.998175094885714,0.9231475204260395,0.9980581028821873,0.9981257816065744
ucrC,,,,0.8206773226500038,0.8207294136165608,0.8499342693836882,0.8196349964057736,0.8181932627118293,0.8196576785536178,0.8201852590546236
ucrss,,,,,0.9999816421494906,0.939520464052813,0.9981697688574057,0.9231482717439913,0.9980531596762414,0.9981200404036698
ucrss_wfilter,,,,,,0.9395264533047581,0.9981666373100246,0.9231541514420593,0.9980498134633801,0.9981198132688855
uc_fast,,,,,,,0.9398937661001522,0.8403941214298258,0.9397763231036451,0.9399824943818096
ucr_fast,,,,,,,,0.9207054267783327,0.9998822356240116,0.9999421055711895
ucrC_fast,,,,,,,,,0.9207472384047403,0.9209064127691261
ucrss_fast,,,,,,,,,,0.9998255952984338
ucrss_fast_wfilter,,,,,,,,,,
