,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.985137248524,0.957039906801,0.984981293398,0.984774714924,0.984090333995,0.985665070905,0.961456254568,0.982975345403,0.984321287766
ucr,0.985137248524,1.0,0.955564413012,0.98994988708,0.988868425639,0.987748429139,0.987070284678,0.95991023339,0.98749638412,0.985933166104
ucrC,0.957039906801,0.955564413012,1.0,0.961396786792,0.958381400931,0.958509814308,0.960639651961,0.990411087867,0.952869426825,0.961032682601
ucrss,0.984981293398,0.98994988708,0.961396786792,1.0,0.99086481034,0.987546125572,0.989637572854,0.964491815239,0.989252569961,0.987182279447
ucrss_wfilter,0.984774714924,0.988868425639,0.958381400931,0.99086481034,1.0,0.985184642823,0.988750484354,0.963319539561,0.987430723534,0.984911769835
uc_fast,0.984090333995,0.987748429139,0.958509814308,0.987546125572,0.985184642823,1.0,0.986203535122,0.960892832638,0.986490031129,0.985077458473
ucr_fast,0.985665070905,0.987070284678,0.960639651961,0.989637572854,0.988750484354,0.986203535122,1.0,0.964923990076,0.987976591156,0.988787599241
ucrC_fast,0.961456254568,0.95991023339,0.990411087867,0.964491815239,0.963319539561,0.960892832638,0.964923990076,1.0,0.957053888757,0.965235970313
ucrss_fast,0.982975345403,0.98749638412,0.952869426825,0.989252569961,0.987430723534,0.986490031129,0.987976591156,0.957053888757,1.0,0.98622259926
ucrss_fast_wfilter,0.984321287766,0.985933166104,0.961032682601,0.987182279447,0.984911769835,0.985077458473,0.988787599241,0.965235970313,0.98622259926,1.0
