	observed_species	PD_whole_tree
SF1.141728	338.0	56.64939
CO2.141657	310.0	49.1091
BP1.141702	326.0	60.18178
CA1.141704	345.0	60.36529
SB1.141730	318.0	51.51484
SA2.141687	345.0	52.9871
SV1.141649	308.0	48.71168
SV2.141666	318.0	48.35939
VC2.141694	342.0	60.32596
MT1.141719	355.0	56.63745
CC1.141721	360.0	68.94957
CA2.141685	343.0	58.30042
SR2.141673	341.0	49.57107
MD3.141707	301.0	48.95534
CO3.141651	339.0	53.90472
MD2.141689	324.0	47.26685
GB2.141732	334.0	53.99459
SR1.141680	357.0	58.52631
SF2.141677	323.0	56.41058
CR1.141682	331.0	53.40642
IE2.141655	328.0	55.15892
GB5.141668	292.0	46.55927
GB1.141665	340.0	55.17136
IT1.141711	349.0	57.14981
KP1.141713	332.0	53.33244
SK3.141716	325.0	55.79159
HJ1.141718	254.0	40.11262
MT2.141698	328.0	52.05548
SN1.141681	274.0	40.67124
CL3.141664	348.0	62.11696
KP3.141658	294.0	45.48829
IT2.141720	326.0	51.26489
HI3.141676	310.0	48.11972
CL4.141667	332.0	54.57884
DF2.141726	349.0	58.51243
SP1.141656	337.0	55.40314
CL2.141671	350.0	60.87404
CF3.141691	231.0	26.87188
BF2.141708	291.0	38.03001
PE1.141715	310.0	41.93865
CF2.141679	259.0	32.31788
SP2.141678	328.0	56.14983
PE3.141731	283.0	37.9646
BZ1.141724	286.0	47.60686
BB2.141659	258.0	38.28896
CF1.141675	298.0	39.25671
BF1.141647	327.0	43.99159
PE6.141700	322.0	45.71264
TL2.141706	320.0	55.52382
CL1.141697	322.0	53.96856
MP2.141695	278.0	42.63897
GB3.141652	292.0	46.84313
CO1.141714	350.0	55.29981
MD5.141688	240.0	37.42973
JT1.141699	309.0	41.7838
MD4.141660	274.0	41.07798
SR3.141674	348.0	54.78647
CM1.141723	332.0	52.12648
IE1.141648	352.0	59.5117
SA1.141670	336.0	55.03583
SN3.141650	351.0	54.04016
SK2.141662	318.0	56.88977
MP1.141661	285.0	43.33448
LQ3.141712	293.0	39.06839
PE5.141692	286.0	36.34653
HF1.141663	277.0	37.04563
HF2.141686	266.0	33.60492
PE2.141725	289.0	34.54258
HI2.141672	299.0	42.71258
KP4.141733	349.0	56.3139
DF1.141684	330.0	51.15339
TL3.141709	292.0	43.33565
PE4.141683	292.0	35.51934
HJ2.141717	324.0	54.87111
AR3.141705	322.0	49.32787
DF3.141696	312.0	43.48743
VC1.141722	332.0	54.26605
SK1.141669	251.0	38.47337
RT2.141710	338.0	54.84084
AR1.141727	315.0	49.25348
TL1.141653	231.0	41.34593
AR2.141703	317.0	53.83104
LQ2.141729	279.0	39.75015
LQ1.141701	343.0	58.09293
PE7.141734	341.0	62.44839
HI1.141693	244.0	36.17638
RT1.141654	322.0	47.76272
HI4.141735	311.0	48.463
